"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"KG000038353","BISHKEK, KG","1980-01-01","27","29","26"
"KG000038353","BISHKEK, KG","1980-01-02","24","27","18"
"KG000038353","BISHKEK, KG","1980-01-03","23","34","14"
"KG000038353","BISHKEK, KG","1980-01-04","31","47","19"
"KG000038353","BISHKEK, KG","1980-01-05","31","45","22"
"KG000038353","BISHKEK, KG","1980-01-06","35","53","24"
"KG000038353","BISHKEK, KG","1980-01-07","40","54","28"
"KG000038353","BISHKEK, KG","1980-01-08","38","46","33"
"KG000038353","BISHKEK, KG","1980-01-09","30","33","28"
"KG000038353","BISHKEK, KG","1980-01-10","28","37","18"
"KG000038353","BISHKEK, KG","1980-01-11","22","36","13"
"KG000038353","BISHKEK, KG","1980-01-12","21","36","11"
"KG000038353","BISHKEK, KG","1980-01-13","35","44","28"
"KG000038353","BISHKEK, KG","1980-01-14","34","43","25"
"KG000038353","BISHKEK, KG","1980-01-15","28","35","24"
"KG000038353","BISHKEK, KG","1980-01-16","17","24","7"
"KG000038353","BISHKEK, KG","1980-01-17","11","23","1"
"KG000038353","BISHKEK, KG","1980-01-18","18","35","4"
"KG000038353","BISHKEK, KG","1980-01-19","26","42","19"
"KG000038353","BISHKEK, KG","1980-01-20","33","46","24"
"KG000038353","BISHKEK, KG","1980-01-21","32","40","22"
"KG000038353","BISHKEK, KG","1980-01-22","34","41","28"
"KG000038353","BISHKEK, KG","1980-01-23","26","37","15"
"KG000038353","BISHKEK, KG","1980-01-24","10","21","-3"
"KG000038353","BISHKEK, KG","1980-01-25","7","15","0"
"KG000038353","BISHKEK, KG","1980-01-26","8","18","2"
"KG000038353","BISHKEK, KG","1980-01-27","5","14","-1"
"KG000038353","BISHKEK, KG","1980-01-28","12","26","2"
"KG000038353","BISHKEK, KG","1980-01-29","21","38","6"
"KG000038353","BISHKEK, KG","1980-01-30","35","52","18"
"KG000038353","BISHKEK, KG","1980-01-31","38","46","30"
"KG000038353","BISHKEK, KG","1980-02-01","19","30","12"
"KG000038353","BISHKEK, KG","1980-02-02","11","17","5"
"KG000038353","BISHKEK, KG","1980-02-03","6","10","2"
"KG000038353","BISHKEK, KG","1980-02-04","6","13","1"
"KG000038353","BISHKEK, KG","1980-02-05","11","22","4"
"KG000038353","BISHKEK, KG","1980-02-06","11","22","3"
"KG000038353","BISHKEK, KG","1980-02-07","11","26","2"
"KG000038353","BISHKEK, KG","1980-02-08","9","22","0"
"KG000038353","BISHKEK, KG","1980-02-09","11","25","0"
"KG000038353","BISHKEK, KG","1980-02-10","18","38","4"
"KG000038353","BISHKEK, KG","1980-02-11","26","46","11"
"KG000038353","BISHKEK, KG","1980-02-12","33","46","22"
"KG000038353","BISHKEK, KG","1980-02-13","36","46","30"
"KG000038353","BISHKEK, KG","1980-02-14","34","36","32"
"KG000038353","BISHKEK, KG","1980-02-15","32","34","30"
"KG000038353","BISHKEK, KG","1980-02-16","33","50","26"
"KG000038353","BISHKEK, KG","1980-02-17","30","31","29"
"KG000038353","BISHKEK, KG","1980-02-18","34","48","25"
"KG000038353","BISHKEK, KG","1980-02-19","38","52","27"
"KG000038353","BISHKEK, KG","1980-02-20","37","45","32"
"KG000038353","BISHKEK, KG","1980-02-21","35","46","26"
"KG000038353","BISHKEK, KG","1980-02-22","30","34","27"
"KG000038353","BISHKEK, KG","1980-02-23","33","46","20"
"KG000038353","BISHKEK, KG","1980-02-24","30","35","26"
"KG000038353","BISHKEK, KG","1980-02-25","23","31","18"
"KG000038353","BISHKEK, KG","1980-02-26","24","29","21"
"KG000038353","BISHKEK, KG","1980-02-27","24","28","22"
"KG000038353","BISHKEK, KG","1980-02-28","22","28","15"
"KG000038353","BISHKEK, KG","1980-02-29","20","30","12"
"KG000038353","BISHKEK, KG","1980-03-01","23","33","14"
"KG000038353","BISHKEK, KG","1980-03-02","29","41","22"
"KG000038353","BISHKEK, KG","1980-03-03","29","38","26"
"KG000038353","BISHKEK, KG","1980-03-04","38","48","28"
"KG000038353","BISHKEK, KG","1980-03-05","33","40","31"
"KG000038353","BISHKEK, KG","1980-03-06","33","39","30"
"KG000038353","BISHKEK, KG","1980-03-07","35","46","27"
"KG000038353","BISHKEK, KG","1980-03-08","30","37","23"
"KG000038353","BISHKEK, KG","1980-03-09","26","30","20"
"KG000038353","BISHKEK, KG","1980-03-10","20","26","18"
"KG000038353","BISHKEK, KG","1980-03-11","21","29","16"
"KG000038353","BISHKEK, KG","1980-03-12","25","32","20"
"KG000038353","BISHKEK, KG","1980-03-13","32","42","26"
"KG000038353","BISHKEK, KG","1980-03-14","33","41","25"
"KG000038353","BISHKEK, KG","1980-03-15","41","50","31"
"KG000038353","BISHKEK, KG","1980-03-16","27","32","24"
"KG000038353","BISHKEK, KG","1980-03-17","26","29","25"
"KG000038353","BISHKEK, KG","1980-03-18","31","39","25"
"KG000038353","BISHKEK, KG","1980-03-19","40","54","30"
"KG000038353","BISHKEK, KG","1980-03-20","48","68","29"
"KG000038353","BISHKEK, KG","1980-03-21","45","51","42"
"KG000038353","BISHKEK, KG","1980-03-22","41","44","38"
"KG000038353","BISHKEK, KG","1980-03-23","42","55","30"
"KG000038353","BISHKEK, KG","1980-03-24","50","63","38"
"KG000038353","BISHKEK, KG","1980-03-25","53","66","40"
"KG000038353","BISHKEK, KG","1980-03-26","44","56","33"
"KG000038353","BISHKEK, KG","1980-03-27","35","38","32"
"KG000038353","BISHKEK, KG","1980-03-28","38","46","32"
"KG000038353","BISHKEK, KG","1980-03-29","39","54","27"
"KG000038353","BISHKEK, KG","1980-03-30","46","65","28"
"KG000038353","BISHKEK, KG","1980-03-31","58","72","40"
"KG000038353","BISHKEK, KG","1980-04-01","51","59","48"
"KG000038353","BISHKEK, KG","1980-04-02","47","51","42"
"KG000038353","BISHKEK, KG","1980-04-03","44","53","38"
"KG000038353","BISHKEK, KG","1980-04-04","50","69","33"
"KG000038353","BISHKEK, KG","1980-04-05","59","72","48"
"KG000038353","BISHKEK, KG","1980-04-06","54","57","50"
"KG000038353","BISHKEK, KG","1980-04-07","54","62","45"
"KG000038353","BISHKEK, KG","1980-04-08","52","62","47"
"KG000038353","BISHKEK, KG","1980-04-09","52","61","45"
"KG000038353","BISHKEK, KG","1980-04-10","47","54","43"
"KG000038353","BISHKEK, KG","1980-04-11","48","67","33"
"KG000038353","BISHKEK, KG","1980-04-12","61","85","36"
"KG000038353","BISHKEK, KG","1980-04-13","63","79","46"
"KG000038353","BISHKEK, KG","1980-04-14","69","80","58"
"KG000038353","BISHKEK, KG","1980-04-15","70","83","51"
"KG000038353","BISHKEK, KG","1980-04-16","71","83","57"
"KG000038353","BISHKEK, KG","1980-04-17","74","91","56"
"KG000038353","BISHKEK, KG","1980-04-18","56","70","50"
"KG000038353","BISHKEK, KG","1980-04-19","50","55","45"
"KG000038353","BISHKEK, KG","1980-04-20","53","63","42"
"KG000038353","BISHKEK, KG","1980-04-21","52","54","49"
"KG000038353","BISHKEK, KG","1980-04-22","51","63","36"
"KG000038353","BISHKEK, KG","1980-04-23","52","65","41"
"KG000038353","BISHKEK, KG","1980-04-24","54","67","41"
"KG000038353","BISHKEK, KG","1980-04-25","55","70","42"
"KG000038353","BISHKEK, KG","1980-04-26","60","70","51"
"KG000038353","BISHKEK, KG","1980-04-27","63","76","52"
"KG000038353","BISHKEK, KG","1980-04-28","62","71","55"
"KG000038353","BISHKEK, KG","1980-04-29","56","65","51"
"KG000038353","BISHKEK, KG","1980-04-30","55","63","48"
"KG000038353","BISHKEK, KG","1980-05-01","57","65","50"
"KG000038353","BISHKEK, KG","1980-05-02","59","73","43"
"KG000038353","BISHKEK, KG","1980-05-03","63","73","55"
"KG000038353","BISHKEK, KG","1980-05-04","65","76","50"
"KG000038353","BISHKEK, KG","1980-05-05","69","78","58"
"KG000038353","BISHKEK, KG","1980-05-06","70","83","55"
"KG000038353","BISHKEK, KG","1980-05-07","73","86","58"
"KG000038353","BISHKEK, KG","1980-05-08","68","74","58"
"KG000038353","BISHKEK, KG","1980-05-09","64","71","58"
"KG000038353","BISHKEK, KG","1980-05-10","66","78","54"
"KG000038353","BISHKEK, KG","1980-05-11","56","64","52"
"KG000038353","BISHKEK, KG","1980-05-12","53","59","48"
"KG000038353","BISHKEK, KG","1980-05-13","54","61","48"
"KG000038353","BISHKEK, KG","1980-05-14","56","66","44"
"KG000038353","BISHKEK, KG","1980-05-15","56","67","49"
"KG000038353","BISHKEK, KG","1980-05-16","56","65","46"
"KG000038353","BISHKEK, KG","1980-05-17","59","71","45"
"KG000038353","BISHKEK, KG","1980-05-18","57","61","55"
"KG000038353","BISHKEK, KG","1980-05-19","61","74","48"
"KG000038353","BISHKEK, KG","1980-05-20","65","79","49"
"KG000038353","BISHKEK, KG","1980-05-21","71","81","60"
"KG000038353","BISHKEK, KG","1980-05-22","72","85","57"
"KG000038353","BISHKEK, KG","1980-05-23","71","86","54"
"KG000038353","BISHKEK, KG","1980-05-24","75","92","57"
"KG000038353","BISHKEK, KG","1980-05-25","78","90","67"
"KG000038353","BISHKEK, KG","1980-05-26","77","88","68"
"KG000038353","BISHKEK, KG","1980-05-27","63","74","58"
"KG000038353","BISHKEK, KG","1980-05-28","64","74","56"
"KG000038353","BISHKEK, KG","1980-05-29","63","76","50"
"KG000038353","BISHKEK, KG","1980-05-30","68","83","52"
"KG000038353","BISHKEK, KG","1980-05-31","69","77","62"
"KG000038353","BISHKEK, KG","1980-06-01","60","66","58"
"KG000038353","BISHKEK, KG","1980-06-02","61","72","53"
"KG000038353","BISHKEK, KG","1980-06-03","63","74","52"
"KG000038353","BISHKEK, KG","1980-06-04","67","80","51"
"KG000038353","BISHKEK, KG","1980-06-05","69","77","61"
"KG000038353","BISHKEK, KG","1980-06-06","66","77","55"
