"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"KG000038353","BISHKEK, KG","2000-01-01","45","54",
"KG000038353","BISHKEK, KG","2000-01-02","38","43",
"KG000038353","BISHKEK, KG","2000-01-03","31","33",
"KG000038353","BISHKEK, KG","2000-01-04","31",,"28"
"KG000038353","BISHKEK, KG","2000-01-05","38","45","27"
"KG000038353","BISHKEK, KG","2000-01-06","45","57",
"KG000038353","BISHKEK, KG","2000-01-07","44","52","38"
"KG000038353","BISHKEK, KG","2000-01-08","31","40",
"KG000038353","BISHKEK, KG","2000-01-09","17","24",
"KG000038353","BISHKEK, KG","2000-01-10","15","28","7"
"KG000038353","BISHKEK, KG","2000-01-11","19","33","10"
"KG000038353","BISHKEK, KG","2000-01-12","16","28","10"
"KG000038353","BISHKEK, KG","2000-01-13","15","26",
"KG000038353","BISHKEK, KG","2000-01-14","16","26","8"
"KG000038353","BISHKEK, KG","2000-01-15","17","30",
"KG000038353","BISHKEK, KG","2000-01-16","18","29","10"
"KG000038353","BISHKEK, KG","2000-01-17","27","37",
"KG000038353","BISHKEK, KG","2000-01-18","34",,"26"
"KG000038353","BISHKEK, KG","2000-01-19","34","42","27"
"KG000038353","BISHKEK, KG","2000-01-20","38","50","22"
"KG000038353","BISHKEK, KG","2000-01-21","41","51",
"KG000038353","BISHKEK, KG","2000-01-22","42","58","27"
"KG000038353","BISHKEK, KG","2000-01-23","38","47","33"
"KG000038353","BISHKEK, KG","2000-01-24","36","40",
"KG000038353","BISHKEK, KG","2000-01-25","31","32",
"KG000038353","BISHKEK, KG","2000-01-26","25","29","21"
"KG000038353","BISHKEK, KG","2000-01-27","25","29","21"
"KG000038353","BISHKEK, KG","2000-01-28","42","55","22"
"KG000038353","BISHKEK, KG","2000-01-29","45","57","35"
"KG000038353","BISHKEK, KG","2000-01-30","39","48",
"KG000038353","BISHKEK, KG","2000-01-31","27",,
"KG000038353","BISHKEK, KG","2000-02-01","24",,
"KG000038353","BISHKEK, KG","2000-02-02","28","44","13"
"KG000038353","BISHKEK, KG","2000-02-03","34","45","25"
"KG000038353","BISHKEK, KG","2000-02-04","31","45",
"KG000038353","BISHKEK, KG","2000-02-05","32","44","23"
"KG000038353","BISHKEK, KG","2000-02-06","42","54","25"
"KG000038353","BISHKEK, KG","2000-02-07","38","52","30"
"KG000038353","BISHKEK, KG","2000-02-08","41","57","29"
"KG000038353","BISHKEK, KG","2000-02-09","31","35",
"KG000038353","BISHKEK, KG","2000-02-10","24","33",
"KG000038353","BISHKEK, KG","2000-02-11","26","38","12"
"KG000038353","BISHKEK, KG","2000-02-12","26","39","18"
"KG000038353","BISHKEK, KG","2000-02-13","31","49","17"
"KG000038353","BISHKEK, KG","2000-02-14","35","52","24"
"KG000038353","BISHKEK, KG","2000-02-15","38",,
"KG000038353","BISHKEK, KG","2000-02-16","24","27",
"KG000038353","BISHKEK, KG","2000-02-17","24","35",
"KG000038353","BISHKEK, KG","2000-02-18","31","45","18"
"KG000038353","BISHKEK, KG","2000-02-19","24","28",
"KG000038353","BISHKEK, KG","2000-02-20","19","26",
"KG000038353","BISHKEK, KG","2000-02-21","18","33","8"
"KG000038353","BISHKEK, KG","2000-02-22","25","42","7"
"KG000038353","BISHKEK, KG","2000-02-23","29","42","15"
"KG000038353","BISHKEK, KG","2000-02-24","35","54","21"
"KG000038353","BISHKEK, KG","2000-02-25","40","55","27"
"KG000038353","BISHKEK, KG","2000-02-26","42","55","31"
"KG000038353","BISHKEK, KG","2000-02-27","37","50",
"KG000038353","BISHKEK, KG","2000-02-28","34","43","23"
"KG000038353","BISHKEK, KG","2000-02-29","30",,
"KG000038353","BISHKEK, KG","2000-03-01","27","36","21"
"KG000038353","BISHKEK, KG","2000-03-02","30",,"18"
"KG000038353","BISHKEK, KG","2000-03-03","33","44","24"
"KG000038353","BISHKEK, KG","2000-03-04","34","42","25"
"KG000038353","BISHKEK, KG","2000-03-05","36","42",
"KG000038353","BISHKEK, KG","2000-03-06","38","44","30"
"KG000038353","BISHKEK, KG","2000-03-07","40","58","30"
"KG000038353","BISHKEK, KG","2000-03-08","43","56",
"KG000038353","BISHKEK, KG","2000-03-09","49","62",
"KG000038353","BISHKEK, KG","2000-03-10","50","63",
"KG000038353","BISHKEK, KG","2000-03-11","43","50",
"KG000038353","BISHKEK, KG","2000-03-12","46","57","38"
"KG000038353","BISHKEK, KG","2000-03-13","51","64",
"KG000038353","BISHKEK, KG","2000-03-14","50","65","38"
"KG000038353","BISHKEK, KG","2000-03-15","43","51","36"
"KG000038353","BISHKEK, KG","2000-03-16","31","44",
"KG000038353","BISHKEK, KG","2000-03-17","29","33","23"
"KG000038353","BISHKEK, KG","2000-03-18","30","36","23"
"KG000038353","BISHKEK, KG","2000-03-19","31","35",
"KG000038353","BISHKEK, KG","2000-03-20","32","41","25"
"KG000038353","BISHKEK, KG","2000-03-21","38","55","24"
"KG000038353","BISHKEK, KG","2000-03-22","43","60",
"KG000038353","BISHKEK, KG","2000-03-23","52","69","35"
"KG000038353","BISHKEK, KG","2000-03-24","60","76","41"
"KG000038353","BISHKEK, KG","2000-03-25","71","83","54"
"KG000038353","BISHKEK, KG","2000-03-26","66","81",
"KG000038353","BISHKEK, KG","2000-03-27","43","52",
"KG000038353","BISHKEK, KG","2000-03-28","41","45","36"
"KG000038353","BISHKEK, KG","2000-03-29","45","53","37"
"KG000038353","BISHKEK, KG","2000-03-30","50","59","42"
"KG000038353","BISHKEK, KG","2000-03-31","54","64",
"KG000038353","BISHKEK, KG","2000-04-01","56","70","43"
"KG000038353","BISHKEK, KG","2000-04-02","56","70","45"
"KG000038353","BISHKEK, KG","2000-04-03","48","55","45"
"KG000038353","BISHKEK, KG","2000-04-04","49","54","45"
"KG000038353","BISHKEK, KG","2000-04-05","51","60",
"KG000038353","BISHKEK, KG","2000-04-06","54","66","40"
"KG000038353","BISHKEK, KG","2000-04-07","58","72","43"
"KG000038353","BISHKEK, KG","2000-04-08","57","75",
"KG000038353","BISHKEK, KG","2000-04-09","68","80","50"
"KG000038353","BISHKEK, KG","2000-04-10","69","83",
"KG000038353","BISHKEK, KG","2000-04-11","62","72","53"
"KG000038353","BISHKEK, KG","2000-04-12","67","84",
"KG000038353","BISHKEK, KG","2000-04-13","59","73",
"KG000038353","BISHKEK, KG","2000-04-14","60",,"46"
"KG000038353","BISHKEK, KG","2000-04-15","57",,
"KG000038353","BISHKEK, KG","2000-04-16","59",,"45"
"KG000038353","BISHKEK, KG","2000-04-17","57",,
"KG000038353","BISHKEK, KG","2000-04-18","63",,"40"
"KG000038353","BISHKEK, KG","2000-04-19","66",,
"KG000038353","BISHKEK, KG","2000-04-20","67",,
"KG000038353","BISHKEK, KG","2000-04-21","61",,
"KG000038353","BISHKEK, KG","2000-04-22","63",,"47"
"KG000038353","BISHKEK, KG","2000-04-23","65",,"51"
"KG000038353","BISHKEK, KG","2000-04-24","65",,"50"
"KG000038353","BISHKEK, KG","2000-04-25","68",,
"KG000038353","BISHKEK, KG","2000-04-26","63",,
"KG000038353","BISHKEK, KG","2000-04-27","68",,
"KG000038353","BISHKEK, KG","2000-04-28","66",,
"KG000038353","BISHKEK, KG","2000-04-29","63",,
"KG000038353","BISHKEK, KG","2000-04-30","66",,"52"
"KG000038353","BISHKEK, KG","2000-05-01","71",,"54"
"KG000038353","BISHKEK, KG","2000-05-02","65",,
"KG000038353","BISHKEK, KG","2000-05-03","71",,
"KG000038353","BISHKEK, KG","2000-05-04","70",,"60"
"KG000038353","BISHKEK, KG","2000-05-05","49","67",
"KG000038353","BISHKEK, KG","2000-05-06","53",,"41"
"KG000038353","BISHKEK, KG","2000-05-07","65",,
"KG000038353","BISHKEK, KG","2000-05-08","71",,
"KG000038353","BISHKEK, KG","2000-05-09","67",,
"KG000038353","BISHKEK, KG","2000-05-10","71",,
"KG000038353","BISHKEK, KG","2000-05-11","58",,
"KG000038353","BISHKEK, KG","2000-05-12","61",,
"KG000038353","BISHKEK, KG","2000-05-13","65",,"48"
"KG000038353","BISHKEK, KG","2000-05-14","66",,"50"
"KG000038353","BISHKEK, KG","2000-05-15","69",,"50"
"KG000038353","BISHKEK, KG","2000-05-16","75",,"56"
"KG000038353","BISHKEK, KG","2000-05-17","84",,
"KG000038353","BISHKEK, KG","2000-05-18","71",,
"KG000038353","BISHKEK, KG","2000-05-19","74",,"58"
"KG000038353","BISHKEK, KG","2000-05-20","78",,"58"
"KG000038353","BISHKEK, KG","2000-05-21","63","74",
"KG000038353","BISHKEK, KG","2000-05-22","62",,
"KG000038353","BISHKEK, KG","2000-05-23","68",,
"KG000038353","BISHKEK, KG","2000-05-24","71",,
"KG000038353","BISHKEK, KG","2000-05-25","67",,
"KG000038353","BISHKEK, KG","2000-05-26","67",,"52"
"KG000038353","BISHKEK, KG","2000-05-27","70",,"52"
"KG000038353","BISHKEK, KG","2000-05-28","74",,"52"
"KG000038353","BISHKEK, KG","2000-05-29","75",,"53"
"KG000038353","BISHKEK, KG","2000-05-30","75",,
"KG000038353","BISHKEK, KG","2000-05-31","65",,
"KG000038353","BISHKEK, KG","2000-06-01","64",,
"KG000038353","BISHKEK, KG","2000-06-02","63",,"50"
"KG000038353","BISHKEK, KG","2000-06-03","61",,
"KG000038353","BISHKEK, KG","2000-06-04","67",,"48"
"KG000038353","BISHKEK, KG","2000-06-05","72",,
"KG000038353","BISHKEK, KG","2000-06-06","77",,"57"
"KG000038353","BISHKEK, KG","2000-06-07","80",,
"KG000038353","BISHKEK, KG","2000-06-08","82",,
"KG000038353","BISHKEK, KG","2000-06-09","70",,
"KG000038353","BISHKEK, KG","2000-06-10","69",,
"KG000038353","BISHKEK, KG","2000-06-11","71",,
"KG000038353","BISHKEK, KG","2000-06-12","76",,"59"
"KG000038353","BISHKEK, KG","2000-06-13","85",,
"KG000038353","BISHKEK, KG","2000-06-14","59","81",
"KG000038353","BISHKEK, KG","2000-06-15","69",,"50"
"KG000038353","BISHKEK, KG","2000-06-16","74",,
"KG000038353","BISHKEK, KG","2000-06-17","74",,"58"
"KG000038353","BISHKEK, KG","2000-06-18","80",,"61"
"KG000038353","BISHKEK, KG","2000-06-19","80",,"65"
"KG000038353","BISHKEK, KG","2000-06-20","78","88",
"KG000038353","BISHKEK, KG","2000-06-21","77",,
"KG000038353","BISHKEK, KG","2000-06-22","81",,"67"
"KG000038353","BISHKEK, KG","2000-06-23","80","92","67"
"KG000038353","BISHKEK, KG","2000-06-24","81",,"67"
"KG000038353","BISHKEK, KG","2000-06-25","84","99","73"
"KG000038353","BISHKEK, KG","2000-06-26","91",,
"KG000038353","BISHKEK, KG","2000-06-27","86",,
"KG000038353","BISHKEK, KG","2000-06-28","82",,
"KG000038353","BISHKEK, KG","2000-06-29","79",,
"KG000038353","BISHKEK, KG","2000-06-30","79","92","69"
"KG000038353","BISHKEK, KG","2000-07-01","80",,"69"
"KG000038353","BISHKEK, KG","2000-07-02","72",,
"KG000038353","BISHKEK, KG","2000-07-03","71","82","56"
"KG000038353","BISHKEK, KG","2000-07-04","75",,"60"
"KG000038353","BISHKEK, KG","2000-07-05","86",,
"KG000038353","BISHKEK, KG","2000-07-06","88",,
"KG000038353","BISHKEK, KG","2000-07-07","87",,
"KG000038353","BISHKEK, KG","2000-07-08","85",,
"KG000038353","BISHKEK, KG","2000-07-09","90",,"72"
"KG000038353","BISHKEK, KG","2000-07-10","86",,"71"
"KG000038353","BISHKEK, KG","2000-07-11","81",,"72"
"KG000038353","BISHKEK, KG","2000-07-12","83",,"70"
"KG000038353","BISHKEK, KG","2000-07-13","79","90","67"
"KG000038353","BISHKEK, KG","2000-07-14","79",,
"KG000038353","BISHKEK, KG","2000-07-15","75",,
"KG000038353","BISHKEK, KG","2000-07-16","73",,
"KG000038353","BISHKEK, KG","2000-07-17","64","73",
"KG000038353","BISHKEK, KG","2000-07-18","70",,"56"
"KG000038353","BISHKEK, KG","2000-07-19","75",,
"KG000038353","BISHKEK, KG","2000-07-20","77","90","59"
"KG000038353","BISHKEK, KG","2000-07-21","80","101","65"
"KG000038353","BISHKEK, KG","2000-07-22","81",,
"KG000038353","BISHKEK, KG","2000-07-23","77","91","69"
"KG000038353","BISHKEK, KG","2000-07-24","72","84",
"KG000038353","BISHKEK, KG","2000-07-25","75","85","63"
"KG000038353","BISHKEK, KG","2000-07-26","78",,"61"
"KG000038353","BISHKEK, KG","2000-07-27","79","93","64"
"KG000038353","BISHKEK, KG","2000-07-28","83","95","65"
"KG000038353","BISHKEK, KG","2000-07-29","81","99",
"KG000038353","BISHKEK, KG","2000-07-30","84","97","69"
"KG000038353","BISHKEK, KG","2000-07-31","89","100","72"
"KG000038353","BISHKEK, KG","2000-08-01","77","88",
"KG000038353","BISHKEK, KG","2000-08-02","80","92","64"
"KG000038353","BISHKEK, KG","2000-08-03","77",,
"KG000038353","BISHKEK, KG","2000-08-04","77","90","64"
"KG000038353","BISHKEK, KG","2000-08-05","82","97","61"
"KG000038353","BISHKEK, KG","2000-08-06","87","99","71"
"KG000038353","BISHKEK, KG","2000-08-07","83","96","71"
"KG000038353","BISHKEK, KG","2000-08-08","84","96",
"KG000038353","BISHKEK, KG","2000-08-09","73","84",
"KG000038353","BISHKEK, KG","2000-08-10","74","87",
"KG000038353","BISHKEK, KG","2000-08-11","76",,"62"
"KG000038353","BISHKEK, KG","2000-08-12","78","92","59"
"KG000038353","BISHKEK, KG","2000-08-13","76","91",
"KG000038353","BISHKEK, KG","2000-08-14","80","90","67"
"KG000038353","BISHKEK, KG","2000-08-15","80","94","64"
"KG000038353","BISHKEK, KG","2000-08-16","79","91","67"
"KG000038353","BISHKEK, KG","2000-08-17","70","80",
"KG000038353","BISHKEK, KG","2000-08-18","72","82","61"
"KG000038353","BISHKEK, KG","2000-08-19","71","84",
"KG000038353","BISHKEK, KG","2000-08-20","75","88","59"
"KG000038353","BISHKEK, KG","2000-08-21","76","89","65"
"KG000038353","BISHKEK, KG","2000-08-22","79","89","65"
"KG000038353","BISHKEK, KG","2000-08-23","79",,
"KG000038353","BISHKEK, KG","2000-08-24","70","81","59"
"KG000038353","BISHKEK, KG","2000-08-25","76","90","59"
"KG000038353","BISHKEK, KG","2000-08-26","80","94","67"
"KG000038353","BISHKEK, KG","2000-08-27","87","99","73"
"KG000038353","BISHKEK, KG","2000-08-28","79",,
"KG000038353","BISHKEK, KG","2000-08-29","81",,"67"
"KG000038353","BISHKEK, KG","2000-08-30","71","88",
"KG000038353","BISHKEK, KG","2000-08-31","66","76",
"KG000038353","BISHKEK, KG","2000-09-01","60","75",
"KG000038353","BISHKEK, KG","2000-09-02","62","78","46"
"KG000038353","BISHKEK, KG","2000-09-03","69","84","49"
"KG000038353","BISHKEK, KG","2000-09-04","74","92","58"
"KG000038353","BISHKEK, KG","2000-09-05","75","89","62"
"KG000038353","BISHKEK, KG","2000-09-06","74","85","58"
"KG000038353","BISHKEK, KG","2000-09-07","71","84","58"
"KG000038353","BISHKEK, KG","2000-09-08","71","82",
"KG000038353","BISHKEK, KG","2000-09-09","69","84",
"KG000038353","BISHKEK, KG","2000-09-10","71","85",
"KG000038353","BISHKEK, KG","2000-09-11","80",,"58"
"KG000038353","BISHKEK, KG","2000-09-12","76","88","60"
"KG000038353","BISHKEK, KG","2000-09-13","74","90",
"KG000038353","BISHKEK, KG","2000-09-14","79","91","60"
"KG000038353","BISHKEK, KG","2000-09-15","80","90","69"
"KG000038353","BISHKEK, KG","2000-09-16","70","85",
"KG000038353","BISHKEK, KG","2000-09-17","73","86",
"KG000038353","BISHKEK, KG","2000-09-18","77","88","60"
"KG000038353","BISHKEK, KG","2000-09-19","67","77",
"KG000038353","BISHKEK, KG","2000-09-20","58","65","50"
"KG000038353","BISHKEK, KG","2000-09-21","61","74","48"
"KG000038353","BISHKEK, KG","2000-09-22","65","77","47"
"KG000038353","BISHKEK, KG","2000-09-23","67","78","50"
"KG000038353","BISHKEK, KG","2000-09-24","68","81","51"
"KG000038353","BISHKEK, KG","2000-09-25","53","66",
"KG000038353","BISHKEK, KG","2000-09-26","40","48",
"KG000038353","BISHKEK, KG","2000-09-27","53",,"33"
"KG000038353","BISHKEK, KG","2000-09-28","62","75",
"KG000038353","BISHKEK, KG","2000-09-29","53","70",
"KG000038353","BISHKEK, KG","2000-09-30","47","56",
"KG000038353","BISHKEK, KG","2000-10-01","52","60",
"KG000038353","BISHKEK, KG","2000-10-02","53","61",
"KG000038353","BISHKEK, KG","2000-10-03","55",,"46"
"KG000038353","BISHKEK, KG","2000-10-04","48","53",
"KG000038353","BISHKEK, KG","2000-10-05","50",,
"KG000038353","BISHKEK, KG","2000-10-06","48","58","41"
"KG000038353","BISHKEK, KG","2000-10-07","43","46","38"
"KG000038353","BISHKEK, KG","2000-10-08","38","45",
"KG000038353","BISHKEK, KG","2000-10-09","43","52","31"
"KG000038353","BISHKEK, KG","2000-10-10","48","63","33"
"KG000038353","BISHKEK, KG","2000-10-11","56",,"37"
"KG000038353","BISHKEK, KG","2000-10-12","61","73","43"
"KG000038353","BISHKEK, KG","2000-10-13","58","68",
"KG000038353","BISHKEK, KG","2000-10-14","47",,
"KG000038353","BISHKEK, KG","2000-10-15","42",,
"KG000038353","BISHKEK, KG","2000-10-16","34",,"32"
"KG000038353","BISHKEK, KG","2000-10-17","38","47",
"KG000038353","BISHKEK, KG","2000-10-18","42","54","27"
"KG000038353","BISHKEK, KG","2000-10-19","44","47","40"
"KG000038353","BISHKEK, KG","2000-10-20","50","58","44"
"KG000038353","BISHKEK, KG","2000-10-21","38",,"33"
"KG000038353","BISHKEK, KG","2000-10-22","37","41",
"KG000038353","BISHKEK, KG","2000-10-23","37","46","27"
"KG000038353","BISHKEK, KG","2000-10-24","41","53","32"
"KG000038353","BISHKEK, KG","2000-10-25","41","50","32"
"KG000038353","BISHKEK, KG","2000-10-26","39","50",
"KG000038353","BISHKEK, KG","2000-10-27","50",,"28"
"KG000038353","BISHKEK, KG","2000-10-28","56","71","43"
"KG000038353","BISHKEK, KG","2000-10-29","56","71","42"
"KG000038353","BISHKEK, KG","2000-10-30","52","69",
"KG000038353","BISHKEK, KG","2000-10-31","46","55","39"
"KG000038353","BISHKEK, KG","2000-11-01","45","50","38"
"KG000038353","BISHKEK, KG","2000-11-02","44","53",
"KG000038353","BISHKEK, KG","2000-11-03","42","57","31"
"KG000038353","BISHKEK, KG","2000-11-04","45","57",
"KG000038353","BISHKEK, KG","2000-11-05","45","53","38"
"KG000038353","BISHKEK, KG","2000-11-06","46","59","40"
"KG000038353","BISHKEK, KG","2000-11-07","37","43",
"KG000038353","BISHKEK, KG","2000-11-08","29","42","27"
"KG000038353","BISHKEK, KG","2000-11-09","36","45","29"
"KG000038353","BISHKEK, KG","2000-11-10","35","38",
"KG000038353","BISHKEK, KG","2000-11-11","38","44",
"KG000038353","BISHKEK, KG","2000-11-12","35","40",
"KG000038353","BISHKEK, KG","2000-11-13","31","42","29"
"KG000038353","BISHKEK, KG","2000-11-14","37","45","26"
"KG000038353","BISHKEK, KG","2000-11-15","41",,"35"
"KG000038353","BISHKEK, KG","2000-11-16","34","36","32"
"KG000038353","BISHKEK, KG","2000-11-17","31",,
"KG000038353","BISHKEK, KG","2000-11-18","37",,"25"
"KG000038353","BISHKEK, KG","2000-11-19","35","50","26"
"KG000038353","BISHKEK, KG","2000-11-20","35",,
"KG000038353","BISHKEK, KG","2000-11-21","37","50","27"
"KG000038353","BISHKEK, KG","2000-11-22","38","49","27"
"KG000038353","BISHKEK, KG","2000-11-23","33","40",
"KG000038353","BISHKEK, KG","2000-11-24","33","45",
"KG000038353","BISHKEK, KG","2000-11-25","35","49","24"
"KG000038353","BISHKEK, KG","2000-11-26","36","49",
"KG000038353","BISHKEK, KG","2000-11-27","42","54","29"
"KG000038353","BISHKEK, KG","2000-11-28","43","54",
"KG000038353","BISHKEK, KG","2000-11-29","30",,
